u,v,key,osmid,highway,lanes,oneway,reversed,length,geometry,ref,name,bridge,maxspeed,service,access,tunnel,width
149496329,149460121,0,176832804,secondary,3,True,False,135.4784881048347,"LINESTRING (-98.4084497 29.4664366, -98.4087356 29.4658613, -98.409007 29.465319)",,Interstate 35 North,,,,,,
149498791,149498797,0,"[1036489391, 15129663]",motorway_link,4,True,False,294.23920537819515,"LINESTRING (-98.4798023 29.4109371, -98.4798396 29.4115643, -98.4798983 29.4118926, -98.4799157 29.4122689, -98.479877 29.41275, -98.4798678 29.4130653, -98.4798528 29.4135767)",,,,,,,,
149498791,149509149,0,"[97902376, 138708883, 97902383]",motorway,4,True,False,728.8093825579915,"LINESTRING (-98.4798023 29.4109371, -98.4800123 29.4118421, -98.4801385 29.4124535, -98.4801805 29.4127245, -98.4802123 29.4130633, -98.4802329 29.4134162, -98.4802304 29.4137119, -98.4802291 29.4144476, -98.4802475 29.415133, -98.480251 29.415946, -98.480246 29.416876, -98.480236 29.417459)",I 37;US 281,William J Bordelon Freeway,yes,65 mph,,,,
149498797,3647113730,0,360111173,motorway_link,1,True,False,14.819614865038842,"LINESTRING (-98.4798528 29.4135767, -98.4797956 29.4136503, -98.4797538 29.4136757)",,,,,,,,
149498797,4331965761,0,1036489390,motorway_link,3,True,False,17.410159163675363,"LINESTRING (-98.4798528 29.4135767, -98.4798489 29.4137014, -98.4798474 29.4137332)",,,,,,,,
149498801,149500029,0,1064335263,secondary,2,True,False,120.83503486558592,"LINESTRING (-98.4798419 29.4139671, -98.4808899 29.4145566)",,East César E. Chávez Boulevard,,,,,,
149498801,3647113738,0,1064335265,secondary,2,True,False,12.01251038875788,"LINESTRING (-98.4798419 29.4139671, -98.4798516 29.4140748)",,Interstate 37 South,,35 mph,,,,
149498803,1672908356,0,154823685,secondary,3,True,False,86.96775953696164,"LINESTRING (-98.4798933 29.4144912, -98.4799653 29.4152708)",,Interstate 37 South,,35 mph,,,,
149498938,583305240,0,"[1065502097, 91193515]",motorway,3,True,False,321.3549707456767,"LINESTRING (-98.4050453 29.454272, -98.4051803 29.454063, -98.4054103 29.453673, -98.4057863 29.453092, -98.4059033 29.452835, -98.4060113 29.452547, -98.4060566 29.4523744, -98.4061798 29.4515933)",I 410,Connally Loop,yes,60 mph,,,,
149498940,149498938,0,15129679,motorway_link,1,True,False,124.12237403607605,"LINESTRING (-98.404707 29.455345, -98.4047952 29.4549002, -98.4050453 29.454272)",,,,,,,,
149498940,149529477,0,1051287516,secondary,2,True,False,373.65960911660045,"LINESTRING (-98.404707 29.455345, -98.405143 29.45453, -98.405698 29.453612, -98.406024 29.453259, -98.406268 29.453104, -98.4065738 29.4529863, -98.4068696 29.4529112, -98.4070375 29.4528853)",,Northeast Loop 410,,,,,,
149499233,149499235,0,15129715,service,,False,False,55.53116264557635,"LINESTRING (-98.4661676 29.4245646, -98.4661696 29.425064)",,,,,,,,
149499235,149499237,0,15129715,service,,False,False,69.19249588743425,"LINESTRING (-98.4661696 29.425064, -98.4661797 29.4256862)",,,,,,,,
149499235,149499233,0,15129715,service,,False,True,55.53116264557635,"LINESTRING (-98.4661696 29.425064, -98.4661676 29.4245646)",,,,,,,,
149499235,149959863,0,156137181,secondary,,False,False,50.71217779600302,"LINESTRING (-98.4661696 29.425064, -98.465646 29.425067)",,East Houston Street,,,,,,
149499235,8292818854,0,156137181,secondary,,False,True,25.094105163010234,"LINESTRING (-98.4661696 29.425064, -98.4664287 29.4250635)",,East Houston Street,,,,,,
149499237,149499239,0,15129715,service,,False,False,72.9569001878272,"LINESTRING (-98.4661797 29.4256862, -98.466185 29.4263423)",,,,,,,,
149499237,149499235,0,15129715,service,,False,True,69.19249588743425,"LINESTRING (-98.4661797 29.4256862, -98.4661696 29.425064)",,,,,,,,
149499237,149604653,0,15168983,residential,,False,True,126.51593367015367,"LINESTRING (-98.4661797 29.4256862, -98.467486 29.425683)",,Florence Street,,,,,,
149499239,149499237,0,15129715,service,,False,True,72.9569001878272,"LINESTRING (-98.466185 29.4263423, -98.4661797 29.4256862)",,,,,,,,
149499239,149958441,0,336158846,residential,,False,False,52.59018144035426,"LINESTRING (-98.466185 29.4263423, -98.465642 29.426345)",,Dawson Street,,,,,,
149499239,149604650,0,336158846,residential,,False,True,127.06700675853745,"LINESTRING (-98.466185 29.4263423, -98.46657 29.426341, -98.467497 29.426342)",,Dawson Street,,,,,,
149500029,4331965772,0,154845562,primary,2,True,False,8.76217518962008,"LINESTRING (-98.4808899 29.4145566, -98.480964 29.4146018)",,East César E. Chávez Boulevard,,,,,,
149500029,1175108984,0,1035993424,secondary,,True,False,18.997383791625477,"LINESTRING (-98.4808899 29.4145566, -98.4809024 29.4143861)",,Tower of the Americas Way,,,,,,
149500038,149486233,0,138708881,motorway,5,True,False,234.383007778221,"LINESTRING (-98.480095 29.411246, -98.480024 29.410928, -98.480002 29.41083, -98.47986 29.410065, -98.47983 29.409695, -98.479821 29.409389, -98.479814 29.409157)",I 37;US 281,William J Bordelon Freeway,,65 mph,,,,
149503638,149732175,0,15155766,secondary,2,True,False,13.857485908199989,"LINESTRING (-98.470509 29.401568, -98.470639 29.401516)",,Interstate 10 East,,,,,,
149503638,12431067905,0,15130076,motorway_link,,True,False,311.42552917086977,"LINESTRING (-98.470509 29.401568, -98.470638 29.401486, -98.470931 29.4013, -98.471424 29.401008, -98.472025 29.400586, -98.4728535 29.3999066, -98.4729414 29.3997631)",,,,,,,,
149503717,149756516,0,15146718,residential,,False,True,85.90567439417151,"LINESTRING (-98.450779 29.436208, -98.45134 29.436122, -98.451553 29.436082, -98.451649 29.436059)",,Rullman Avenue,,,,,,
149504575,1131139958,0,97703819,motorway,3,True,False,652.8643226864627,"LINESTRING (-98.409023 29.430925, -98.409509 29.430782, -98.411976 29.430053, -98.413184 29.429708, -98.413783 29.429517, -98.414183 29.429376, -98.414962 29.429111, -98.4153697 29.4289532)",I 10;US 90,Jose Lopez Freeway,,65 mph,,,,
149504579,149903039,0,15155797,secondary,2,True,False,276.48185864830634,"LINESTRING (-98.407494 29.431627, -98.410213 29.430869)",,Interstate 10 East,,,,,,
149504579,149504575,0,15130156,motorway_link,,True,False,167.4046562824805,"LINESTRING (-98.407494 29.431627, -98.40854 29.431157, -98.409023 29.430925)",,,,,,,,
149505141,6646105775,0,1064796467,secondary,3,True,False,109.84990107508416,"LINESTRING (-98.417689 29.428179, -98.418039 29.427978, -98.4186075 29.4276003)",,Interstate 10 East,,,,,,
149507180,2859910663,0,282047205,primary,,False,True,49.93370259907859,"LINESTRING (-98.4813469 29.4223089, -98.4808489 29.4221927)",,East Commerce Street,,,,,,
